"X","Y"
9,77.51
9,78.7
9,72.91
9,81.68
9,75.35
9,83.86
9,83.79
9,74.77
9,76.45
9,77.92
9,79.55
9,92.03
9,84.61
9,75.7
9,79.5
9,74.02
9,79.37
9,83.9
9,87.91
9,80.68
10,73.44
10,70.59
10,70.61
10,76.02
10,69.35
10,67.48
10,73.71
10,78.2
10,65.72
10,76.63
10,75.58
10,70.43
10,82.99
10,82.06
10,83.27
10,69.7
10,76.91
10,77.61
10,76.93
10,74.62
11,69.12
11,72.28
11,78.97
11,71.02
11,67.17
11,71.42
11,67.67
11,69.29
11,66.67
11,61.17
11,65.36
11,68.64
11,75.37
11,66.96
11,63.04
11,63.86
11,66.44
11,79.12
11,73.23
11,66.41
12,64.98
12,62.98
12,64.96
12,65.18
12,70.8
12,65.54
12,59.64
12,67.69
12,66.43
12,61.26
12,56.72
12,63.63
12,64.64
12,61.85
12,61.34
12,55.27
12,63.93
12,65.39
12,73.88
12,68.04
13,54.76
13,65.61
13,54.04
13,58.81
13,52.76
13,58.33
13,63.67
13,54.69
13,52.91
13,63.25
13,62.86
13,58.77
13,63.66
13,55.24
13,62.6
13,65.66
13,51.72
13,67.29
13,58.05
13,64.09
14,53.84
14,59.01
14,55.51
14,59.95
14,50.23
14,53.79
14,56.09
14,62.17
14,57.37
14,67.92
14,51.21
14,56.72
14,50.44
14,50.24
14,63.72
14,59.11
14,52.47
14,56.06
14,57.55
14,61.7
15,54.35
15,45.1
15,46.15
15,47.76
15,54.8
15,54.33
15,43.53
15,51.58
15,45.42
15,56.82
15,44
15,48.41
15,55.65
15,48.31
15,53.61
15,48.52
15,47.4
15,50.75
15,47.18
15,48.41
16,44.77
16,42.81
16,40.54
16,47.56
16,43.64
16,40.47
16,46.4
16,39.38
16,47.5
16,33.63
16,48.25
16,37.8
16,48.54
16,37.75
16,42.92
16,46.04
16,44.63
16,43.39
16,41.62
16,41.11
