"X","Y"
5,101.99
5,105.78
5,99.63
5,101.24
5,102.14
5,97.57
5,98.07
5,100.52
5,97.09
5,104.01
5,95.45
5,101.11
5,104.1
5,101.79
5,95.5
5,104.44
5,106.62
5,101.6
5,103.88
5,102.1
7,85.03
7,86.4
7,92.82
7,84.19
7,86.93
7,84.13
7,88.73
7,90.07
7,92.37
7,91.27
7,84.15
7,92.86
7,95.61
7,91.63
7,89.5
7,87.94
7,90.87
7,95.61
7,91.79
7,83.63
9,88.49
9,85.01
9,83.23
9,81.52
9,79.53
9,90.08
9,76.37
9,74.12
9,84.29
9,76.83
9,85.61
9,76.82
9,81.63
9,85.25
9,81.86
9,79.33
9,72.5
9,76.47
9,72.66
9,79.56
11,68.82
11,69.61
11,68.47
11,61.74
11,66.15
11,71.1
11,73.38
11,65.82
11,71.79
11,75.66
11,75.89
11,67.42
11,67.24
11,66.83
11,73.18
11,60.19
11,71.28
11,66.5
11,76.92
11,63.33
13,58.18
13,57.81
13,56.42
13,60.41
13,56.71
13,64.8
13,53.23
13,61.68
13,60.35
13,62.33
13,64.9
13,58.11
13,61.35
13,61.12
13,59.57
13,60.67
13,68.37
13,59.28
13,59.17
13,57.72
15,51.35
15,53.14
15,47.14
15,50.41
15,52.61
15,47.89
15,49.19
15,61.29
15,52.74
15,49.45
15,59.95
15,51.07
15,43.36
15,52.97
15,52.28
15,49.22
15,40.5
15,53.49
15,52.29
15,44.68
17,40.2
17,37.65
17,38.65
17,36.24
17,32.92
17,42.93
17,32.34
17,40.76
17,32.59
17,43.7
17,32.15
17,39.06
17,34.93
17,40.41
17,45.11
17,46.4
17,41.48
17,39.02
17,35.83
17,39.7
19,39.04
19,22.16
19,24.09
19,26.13
19,24.89
19,28.78
19,30.24
19,37.15
19,32.87
19,30.57
19,30.7
19,28.78
19,33.51
19,36.2
19,29.4
19,27.35
19,25.84
19,35.05
19,35.17
19,27.14
